vertex, cluster
0, 0
3, 0
9, 0
14, 0
58, 0
70, 0
83, 0
85, 0
108, 0
1, 2
8, 2
11, 2
15, 2
18, 2
19, 2
29, 2
36, 2
44, 2
49, 2
67, 2
84, 2
89, 2
94, 2
98, 2
102, 2
107, 2
2, 4
16, 4
21, 4
28, 4
30, 4
33, 4
37, 4
52, 4
54, 4
55, 4
61, 4
62, 4
68, 4
69, 4
72, 4
79, 4
96, 4
100, 4
113, 4
4, 5
6, 5
10, 5
20, 5
23, 5
25, 5
31, 5
32, 5
35, 5
45, 5
46, 5
48, 5
50, 5
51, 5
56, 5
57, 5
59, 5
63, 5
73, 5
77, 5
80, 5
88, 5
93, 5
95, 5
99, 5
103, 5
104, 5
106, 5
109, 5
112, 5
5, 1
7, 1
27, 1
42, 1
47, 1
53, 1
60, 1
64, 1
74, 1
75, 1
78, 1
82, 1
90, 1
101, 1
105, 1
110, 1
111, 1
114, 1
12, 3
17, 3
34, 3
40, 3
43, 3
65, 3
71, 3
87, 3
92, 3
97, 3
13, 6
22, 6
24, 6
26, 6
38, 6
39, 6
41, 6
66, 6
76, 6
81, 6
86, 6
91, 6
